is_holiday,air_pollution_index,temperature,rain_p_h,visibility_in_miles,traffic_condition
1,70.37,33.94,0.84,4.73,2
0,30.3,27.49,1.32,3.75,2
1,79.11,34.93,1.66,2.58,2
1,65.18,29.55,0.91,2.23,2
0,39.58,30.24,0.92,2.3,2
0,67.09,29.7,1.98,3.0,2
0,67.84,30.96,1.95,3.07,2
1,50.77,26.91,0.59,2.18,2
1,45.75,30.87,0.73,2.01,2
1,67.12,28.97,1.58,3.01,2
0,66.67,33.1,1.33,2.66,2
0,31.71,26.12,1.86,2.34,2
0,58.89,31.09,0.85,2.59,2
1,41.29,29.45,1.87,2.79,2
0,30.85,32.39,1.25,3.68,2
1,45.24,34.52,1.75,2.11,2
0,78.68,31.23,1.38,2.36,2
1,74.99,26.72,1.13,4.14,2
0,32.79,33.04,0.64,3.26,2
0,50.32,28.46,1.23,2.95,2
1,67.01,32.3,1.35,4.48,2
0,47.48,31.62,1.97,4.71,2
1,39.84,33.77,1.18,2.48,2
0,79.3,31.92,1.57,2.42,2
1,60.93,32.28,0.6,4.35,2
0,78.79,31.66,0.79,2.14,2
0,65.66,32.72,1.88,2.72,2
0,69.22,32.91,1.28,4.5,2
0,41.7,25.08,2.0,3.35,2
0,47.32,31.59,1.26,2.97,2
0,57.98,32.75,0.91,2.12,2
1,53.09,34.35,1.11,3.7,2
1,59.38,32.01,1.3,4.73,2
1,30.48,27.69,0.62,3.3,2
0,47.65,30.78,1.09,4.24,2
0,63.14,34.33,0.78,3.29,2
0,71.31,25.42,1.36,2.08,2
0,68.24,30.33,1.89,2.39,2
1,78.9,34.26,1.81,3.56,2
0,75.87,33.38,1.87,2.49,2
1,43.58,29.61,1.93,2.32,2
1,78.68,26.53,0.73,2.09,2
0,61.05,34.24,0.61,2.08,2
0,34.29,28.26,1.12,2.77,2
0,50.91,34.88,1.56,4.55,2
1,75.94,25.63,1.51,4.64,2
0,41.14,30.02,1.49,4.64,2
1,44.38,31.4,1.04,2.43,2
0,30.72,30.09,1.54,2.04,2
0,39.68,31.35,1.77,4.52,2
0,44.46,26.28,1.52,2.5,2
0,32.21,25.28,1.4,4.24,2
0,55.84,29.27,1.48,2.36,2
0,41.34,25.17,0.64,4.16,2
0,44.5,32.4,0.85,4.09,2
1,67.38,33.58,0.99,3.57,2
0,32.49,29.39,1.87,3.78,2
1,59.1,32.74,1.7,4.39,2
1,35.71,30.62,1.56,3.23,2
0,43.97,25.15,1.78,3.19,2
1,53.19,30.1,1.85,2.81,2
1,71.25,30.76,0.83,2.94,2
0,63.0,31.82,1.77,2.99,2
0,36.67,28.13,1.5,2.22,2
1,31.81,31.0,1.9,4.49,2
1,48.1,31.54,1.63,3.54,2
1,44.49,34.17,1.43,2.33,2
1,75.61,28.22,1.67,4.05,2
1,73.88,33.81,0.55,2.68,2
1,58.33,32.74,1.04,4.94,2
0,50.81,30.99,0.91,4.37,2
1,73.62,28.99,0.74,4.84,2
0,31.3,32.03,0.87,3.49,2
0,46.75,31.98,0.55,2.08,2
1,61.88,34.82,0.87,3.31,2
1,60.06,28.44,1.6,3.33,2
1,55.58,26.55,0.88,4.88,2
0,79.8,26.07,0.63,4.29,2
0,52.44,32.03,0.52,4.42,2
0,45.31,25.75,1.4,3.14,2
1,71.07,29.63,0.62,3.29,2
0,32.69,25.92,1.43,3.33,2
0,48.7,34.36,0.83,3.47,2
0,59.32,28.77,1.46,3.25,2
1,78.08,34.31,1.83,3.25,2
1,75.66,27.2,1.66,2.1,2
1,40.47,28.72,1.59,3.33,2
1,35.79,30.94,0.59,2.89,2
1,62.93,29.95,1.25,2.08,2
0,32.21,27.47,0.82,4.25,2
0,67.44,29.12,1.52,2.09,2
1,46.47,32.3,1.6,4.84,2
1,46.39,25.99,0.54,4.75,2
0,50.31,34.08,1.92,2.65,2
0,74.18,33.8,0.63,2.69,2
1,75.33,31.67,1.57,4.36,2
0,45.26,34.91,1.87,2.67,2
0,63.81,34.88,1.76,2.29,2
1,33.68,27.97,0.71,2.58,2
0,49.0,33.71,0.76,2.57,2
1,33.2,27.18,1.68,3.46,2
1,33.5,34.88,1.84,4.27,2
0,55.19,33.92,1.89,3.23,2
1,64.5,27.81,1.98,3.77,2
1,76.47,25.21,1.96,4.23,2
1,59.76,28.28,1.67,2.31,2
1,66.87,34.32,1.28,3.52,2
1,38.94,27.22,1.53,4.68,2
0,53.85,31.15,0.69,2.88,2
1,48.74,32.65,0.78,3.87,2
1,54.1,26.95,0.82,2.28,2
1,30.69,25.64,1.94,3.34,2
1,38.39,31.21,1.67,3.33,2
0,79.77,29.53,0.6,2.19,2
1,45.64,27.3,0.89,2.5,2
0,51.35,31.21,0.94,2.35,2
1,57.8,27.75,1.57,3.69,2
0,67.88,28.44,1.24,4.77,2
0,30.4,28.62,1.85,2.03,2
1,51.3,28.2,0.9,4.44,2
0,73.52,28.14,1.05,3.35,2
1,36.42,31.03,1.61,4.32,2
1,74.71,30.79,1.39,3.78,2
1,62.06,27.36,1.65,3.86,2
1,42.74,31.96,1.95,2.04,2
1,70.18,25.89,0.52,4.44,2
1,45.26,33.58,0.7,4.37,2
1,31.9,28.84,0.75,2.66,2
1,49.31,30.94,1.85,3.58,2
1,35.94,33.05,1.1,3.03,2
0,30.01,34.75,0.56,3.48,2
0,46.15,32.35,1.16,3.7,2
1,66.43,25.66,1.76,2.88,2
1,50.56,34.75,0.58,2.24,2
0,77.28,28.39,1.7,2.8,2
1,35.06,27.56,1.3,3.54,2
0,47.04,28.18,0.73,2.49,2
1,64.46,33.38,1.35,4.55,2
1,42.68,34.37,0.52,2.93,2
1,78.06,33.98,1.89,2.2,2
1,50.55,33.63,1.66,2.77,2
0,38.5,31.1,1.65,3.88,2
1,30.06,31.28,1.29,4.95,2
1,76.25,27.89,1.52,3.98,2
0,36.6,34.08,1.11,2.05,2
1,49.57,32.84,0.91,3.86,2
0,43.99,28.1,1.79,2.22,2
1,37.65,28.27,0.85,2.49,2
1,40.39,27.73,1.95,2.31,2
0,40.04,28.97,1.18,2.09,2
1,70.59,25.86,0.52,3.9,2
1,38.97,28.96,1.6,3.44,2
1,32.58,33.92,1.7,2.52,2
0,59.77,30.42,1.38,2.44,2
1,33.59,33.92,1.13,3.88,2
0,64.78,30.73,1.85,2.29,2
0,61.78,34.26,1.7,3.69,2
1,39.37,28.37,0.69,3.2,2
1,45.66,25.03,1.52,4.38,2
0,71.15,32.97,1.47,2.13,2
1,40.18,26.3,0.62,2.29,2
0,46.48,32.6,0.64,3.03,2
1,43.98,34.37,1.32,2.01,2
0,62.23,27.73,0.76,4.37,2
0,32.11,29.26,1.56,2.58,2
0,78.71,32.03,1.65,3.34,2
1,35.53,34.64,1.52,2.25,2
0,72.57,33.86,1.75,2.6,2
0,49.89,25.98,1.2,4.99,2
1,41.79,29.13,1.89,4.97,2
0,38.99,25.89,1.32,4.84,2
1,74.01,34.26,0.6,3.01,2
0,41.21,34.53,1.6,2.62,2
1,51.14,26.46,1.08,2.29,2
1,79.23,26.8,0.53,4.59,2
1,61.46,32.97,1.45,3.45,2
0,78.27,31.2,1.05,2.92,2
0,50.68,31.41,0.8,2.4,2
0,57.1,32.46,0.87,3.32,2
0,62.02,33.14,0.7,4.4,2
0,75.42,25.5,1.15,4.2,2
1,80.0,28.43,1.98,2.73,2
1,50.87,28.13,1.49,2.66,2
0,55.83,28.27,0.55,4.96,2
0,64.31,25.2,1.22,4.79,2
0,67.14,31.6,1.61,2.34,2
1,42.24,25.87,1.75,3.95,2
1,42.45,32.56,1.96,2.45,2
0,62.91,28.88,1.12,4.87,2
1,53.54,28.2,1.79,3.68,2
0,32.69,34.76,1.5,3.99,2
1,31.08,29.51,1.18,2.64,2
1,63.38,28.07,0.87,4.38,2
0,72.6,26.55,0.96,4.23,2
0,72.19,25.65,0.54,4.73,2
1,56.11,28.61,1.47,3.37,2
0,68.87,26.97,0.86,4.85,2
1,44.09,29.45,0.8,2.39,2
0,33.53,26.5,1.98,4.05,2
0,71.56,29.31,0.9,3.1,2
1,55.48,32.45,1.72,3.51,2
1,61.87,27.16,1.18,3.07,2
0,32.08,25.81,1.92,2.97,2
1,62.0,32.06,1.26,3.95,2
1,44.87,32.66,1.47,2.44,2
1,62.22,30.05,1.68,3.91,2
0,39.11,31.43,0.95,3.94,2
0,75.95,29.68,0.87,3.22,2
1,41.31,25.47,1.36,3.23,2
1,34.06,30.52,1.91,3.92,2
0,70.13,28.67,0.55,3.94,2
1,34.49,34.75,1.49,4.8,2
1,56.46,32.48,1.81,3.61,2
0,36.57,33.1,1.52,3.68,2
1,52.28,34.44,0.59,4.63,2
1,74.37,32.19,1.16,4.46,2
0,41.25,28.28,1.78,2.7,2
0,78.38,30.16,1.07,4.21,2
0,54.76,30.74,1.64,4.18,2
1,73.52,32.85,0.52,4.27,2
0,47.78,28.97,1.25,2.78,2
0,79.27,27.91,1.91,3.69,2
1,74.56,31.18,0.64,2.91,2
1,45.53,30.48,0.51,3.52,2
1,44.94,30.34,1.35,4.47,2
1,55.01,29.25,1.91,4.42,2
1,56.2,34.29,0.59,4.11,2
0,42.88,33.25,0.78,2.36,2
1,49.81,33.1,1.58,3.46,2
1,56.79,30.99,1.49,2.38,2
1,74.99,33.59,1.88,3.5,2
1,60.17,33.4,1.22,2.43,2
0,74.17,34.95,0.86,2.83,2
1,62.16,28.04,1.45,2.92,2
1,66.62,31.87,1.89,3.26,2
0,68.8,30.05,1.01,4.65,2
1,54.14,29.82,1.7,4.21,2
1,51.7,25.32,1.17,2.5,2
1,45.67,25.92,1.68,2.13,2
1,78.08,33.72,1.98,3.02,2
0,67.03,34.27,1.14,3.3,2
0,52.27,25.96,0.81,2.59,2
0,36.57,27.65,1.16,3.9,2
1,78.3,25.15,1.11,2.94,2
0,79.47,34.84,1.1,3.46,2
0,49.53,26.58,0.54,4.34,2
1,36.65,32.67,0.6,4.24,2
1,43.03,33.29,1.12,4.71,2
1,59.24,26.38,0.83,3.96,2
1,76.5,27.23,1.21,4.45,2
1,30.53,31.08,1.59,4.51,2
0,58.42,27.23,0.83,2.81,2
1,54.56,28.28,1.25,2.56,2
1,39.57,34.18,1.24,3.79,2
0,54.49,27.67,0.58,2.99,2
1,50.18,28.6,1.84,4.12,2
1,33.14,28.54,1.28,3.55,2
1,50.45,29.92,0.53,4.32,2
0,79.42,28.02,1.9,4.9,2
0,35.18,33.9,1.05,2.14,2
1,70.55,31.41,0.54,3.59,2
1,71.45,26.49,1.76,4.17,2
1,35.46,26.51,1.59,4.33,2
1,37.65,30.78,1.45,2.34,2
0,53.12,27.84,1.12,2.68,2
1,71.89,31.13,1.53,3.15,2
0,38.51,28.62,1.47,3.09,2
1,34.73,33.1,0.97,2.23,2
0,76.28,30.65,1.15,2.49,2
1,37.89,25.65,1.22,3.19,2
1,33.66,34.97,0.8,3.23,2
0,32.72,30.59,0.99,4.12,2
1,47.63,30.52,0.82,3.57,2
0,61.27,27.47,1.38,4.14,2
1,69.18,31.27,0.98,4.76,2
0,44.92,25.29,1.37,3.66,2
1,63.99,26.02,1.28,3.43,2
1,74.68,27.2,1.42,3.64,2
0,52.6,34.33,1.73,4.85,2
0,70.2,34.89,1.51,2.05,2
0,56.84,34.75,1.28,4.8,2
1,43.63,25.18,1.3,3.54,2
1,34.43,26.17,1.02,2.22,2
1,57.15,30.4,1.63,3.72,2
0,44.03,26.06,1.19,3.95,2
0,47.99,27.79,0.69,2.82,2
0,55.61,32.07,0.52,2.39,2
1,57.39,32.77,0.75,2.38,2
0,58.26,25.22,1.33,3.21,2
1,39.62,30.67,1.16,4.21,2
0,59.4,25.49,0.94,4.71,2
0,66.4,33.85,1.87,3.77,2
0,48.67,27.18,1.19,4.62,2
1,39.54,30.41,1.17,4.96,2
0,60.64,32.15,1.24,2.37,2
1,48.18,25.78,1.58,2.57,2
0,59.36,28.94,1.39,4.18,2
0,63.48,34.98,1.21,4.3,2
1,72.69,32.81,1.04,4.14,2
0,54.24,32.53,0.54,2.94,2
0,66.99,30.8,1.4,3.68,2
0,40.22,27.27,0.87,3.99,2
0,75.66,31.48,0.88,3.46,2
0,62.69,25.2,1.72,2.68,2
1,44.75,34.35,1.17,3.14,2
0,37.94,28.95,1.31,4.82,2
0,57.53,35.0,0.54,4.64,2
0,79.93,30.76,1.12,2.78,2
0,54.35,34.81,1.21,3.28,2
1,33.45,32.11,0.73,3.43,2
0,70.07,27.5,0.68,2.43,2
0,75.97,28.59,1.48,3.25,2
1,42.77,28.86,1.25,3.12,2
1,55.47,33.47,1.29,2.48,2
0,70.86,29.08,1.27,2.7,2
1,30.62,28.27,1.73,2.47,2
0,78.32,26.42,1.0,3.16,2
0,74.75,34.99,0.73,2.95,2
0,61.68,32.01,0.95,4.55,2
0,32.38,27.8,0.78,4.44,2
1,44.6,28.3,1.42,4.61,2
1,53.03,30.55,1.67,3.48,2
0,79.87,33.36,1.59,2.11,2
0,65.81,26.52,1.76,3.85,2
0,36.03,29.93,1.7,3.19,2
0,44.27,32.46,1.79,3.84,2
0,68.82,30.63,1.79,4.73,2
1,76.59,33.76,1.82,3.75,2
0,65.8,34.01,0.89,4.0,2
0,52.49,25.34,1.37,2.01,2
0,49.09,31.51,1.14,4.82,2
1,53.73,34.67,1.15,4.75,2
0,67.38,34.35,1.3,2.82,2
0,37.63,27.96,0.68,3.86,2
1,43.6,28.12,1.52,2.06,2
1,41.27,33.78,1.58,2.45,2
1,44.69,34.04,1.12,2.45,2
1,58.59,28.02,0.83,2.4,2
1,73.06,31.49,0.5,4.25,2
0,39.24,27.57,0.97,3.13,2
0,49.04,34.51,1.28,2.72,2
1,67.33,29.01,1.67,4.87,2
0,38.91,27.03,1.47,3.63,2
1,30.06,29.83,0.93,4.12,2
0,73.37,28.92,1.72,4.26,2
1,48.4,30.96,1.87,3.19,2
1,43.72,28.84,1.75,2.64,2
0,67.39,33.22,0.91,4.28,2
1,69.64,30.52,1.07,2.88,2
1,39.83,33.57,1.96,3.91,2
0,73.13,26.15,0.95,3.12,2
1,72.93,25.63,1.91,4.28,2
1,33.79,27.92,0.57,4.25,2
1,72.18,28.53,1.21,3.37,2
0,52.53,26.37,1.43,3.71,2
0,73.05,30.06,0.88,4.14,2
0,36.89,33.66,0.83,3.51,2
1,58.73,30.19,1.45,2.14,2
0,30.38,30.68,1.01,3.8,2
0,72.83,31.22,0.71,3.66,2
0,50.41,30.46,0.93,3.17,2
0,56.75,26.47,0.97,4.55,2
1,64.93,29.83,0.85,3.91,2
0,70.85,27.22,1.65,4.6,2
1,35.64,28.56,0.56,4.74,2
0,39.36,28.22,1.9,4.21,2
0,71.14,30.02,1.69,4.63,2
0,50.78,28.01,1.02,4.62,2
0,61.75,31.75,0.73,2.55,2
0,69.53,28.08,1.03,4.22,2
1,75.64,25.89,1.41,4.33,2
1,43.31,34.26,1.55,4.59,2
1,32.24,32.41,0.92,3.2,2
0,72.92,25.38,0.75,2.04,2
0,79.67,25.29,1.03,2.51,2
1,76.54,28.3,0.79,3.1,2
1,76.52,31.31,1.47,3.71,2
0,42.66,28.71,1.48,4.37,2
1,57.17,34.97,1.35,4.94,2
1,66.26,25.47,1.81,3.83,2
0,39.49,27.4,0.87,3.68,2
0,73.74,30.54,0.93,3.75,2
0,77.13,34.66,1.92,3.18,2
1,39.87,29.72,0.86,4.93,2
1,58.21,30.13,1.24,3.05,2
0,48.78,33.91,1.18,3.95,2
0,47.97,28.53,1.34,3.45,2
0,75.58,29.33,1.15,4.58,2
0,69.43,33.75,1.22,4.31,2
1,31.79,31.27,1.94,3.47,2
1,51.63,27.53,0.57,4.13,2
0,76.61,29.35,1.21,5.0,2
1,74.84,30.61,1.33,4.21,2
0,50.44,29.3,1.44,2.35,2
0,64.6,31.35,0.7,3.23,2
1,71.82,26.51,1.07,3.34,2
1,60.74,27.87,1.64,2.75,2
1,32.33,33.79,0.77,4.89,2
1,77.49,29.91,1.39,4.82,2
0,53.64,31.57,0.66,4.98,2
1,56.24,28.82,1.57,4.02,2
1,40.51,32.21,1.34,2.49,2
1,35.93,30.71,1.37,2.15,2
0,32.06,34.25,1.94,3.51,2
1,49.59,30.38,1.32,2.66,2
1,46.62,33.3,1.82,4.67,2
0,52.72,33.54,0.65,2.32,2
0,39.08,26.68,0.73,2.68,2
1,42.31,29.68,0.63,2.92,2
0,49.21,25.16,1.96,3.49,2
1,71.62,28.26,1.07,2.99,2
0,67.49,33.38,1.68,2.89,2
0,44.79,25.84,1.94,2.52,2
0,36.16,34.26,1.9,4.83,2
0,47.13,26.73,1.39,4.4,2
1,41.82,29.49,1.54,4.87,2
0,42.21,25.06,1.58,3.68,2
0,39.0,33.04,1.6,4.7,2
1,74.99,31.34,0.85,2.41,2
1,39.57,31.01,1.11,3.08,2
0,58.61,33.59,0.63,4.21,2
1,69.62,25.91,1.8,4.5,2
1,71.32,31.81,1.21,2.92,2
0,33.7,27.32,1.38,3.81,2
0,61.15,34.08,1.75,2.94,2
1,79.77,25.46,1.19,2.04,2
0,75.17,34.89,1.61,4.2,2
0,62.24,32.06,1.9,3.91,2
1,59.0,26.78,0.74,2.83,2
0,30.48,31.82,1.1,2.5,2
0,48.54,26.54,1.51,2.8,2
0,60.43,28.84,0.96,3.46,2
1,30.05,33.07,0.65,2.65,2
0,41.89,28.15,1.41,4.02,2
0,30.41,30.78,1.78,3.37,2
1,71.39,25.62,0.74,4.45,2
0,39.4,28.28,1.75,3.81,2
0,49.59,29.97,1.27,3.35,2
0,70.59,30.36,1.31,4.83,2
0,33.67,29.49,1.31,4.88,2
1,68.67,27.61,1.05,3.44,2
0,61.12,31.81,1.44,4.93,2
1,59.12,32.75,1.15,2.66,2
1,43.42,28.23,0.81,4.72,2
1,58.37,26.76,1.22,3.06,2
0,45.85,29.18,0.91,2.18,2
0,58.64,30.41,0.6,4.76,2
1,35.29,31.81,0.78,3.21,2
0,46.47,33.45,1.31,2.42,2
0,43.46,34.68,1.03,4.55,2
1,40.25,34.77,0.92,2.65,2
1,60.32,28.27,0.79,4.54,2
0,42.81,32.55,1.94,2.87,2
0,74.08,33.3,1.18,3.01,2
1,31.36,25.52,1.33,3.86,2
0,75.71,32.2,0.52,4.92,2
1,44.57,31.39,0.96,4.68,2
0,44.68,28.55,1.4,2.47,2
1,43.87,25.01,0.85,4.79,2
1,62.61,28.74,1.75,2.44,2
0,55.92,25.28,1.84,4.85,2
0,65.03,26.83,0.86,2.79,2
0,52.36,31.9,1.56,4.6,2
0,32.84,32.53,1.68,4.18,2
1,47.87,31.52,0.95,3.2,2
1,53.21,29.48,1.29,4.31,2
1,57.15,26.57,1.34,3.88,2
1,60.62,29.45,1.82,3.84,2
0,68.45,33.83,1.11,2.55,2
1,38.65,30.65,1.02,3.41,2
0,51.81,28.95,0.7,3.33,2
1,61.76,34.4,1.21,2.56,2
0,77.68,27.76,1.05,2.3,2
1,36.31,28.99,1.89,3.04,2
0,50.07,34.85,1.04,2.71,2
0,65.52,29.75,1.25,2.96,2
0,79.22,34.89,1.32,3.72,2
0,43.6,33.55,1.26,3.24,2
1,63.87,30.42,0.69,3.08,2
1,33.54,27.03,0.67,4.91,2
0,31.53,28.08,0.69,4.83,2
1,50.54,26.31,1.43,2.27,2
1,78.48,25.03,1.35,3.0,2
0,35.72,30.49,0.98,3.63,2
1,72.84,33.48,0.52,3.25,2
1,47.78,31.44,0.54,4.49,2
1,52.67,25.67,1.69,4.99,2
1,70.51,32.94,0.63,4.41,2
0,52.49,27.23,0.97,3.85,2
0,32.3,25.56,1.81,4.47,2
0,37.68,32.87,0.92,2.19,2
0,40.23,27.81,1.6,3.74,2
0,55.39,25.57,1.25,3.11,2
1,58.5,32.62,1.78,4.29,2
1,63.74,28.39,1.88,3.12,2
1,38.24,31.08,0.77,3.92,2
0,30.37,29.94,1.99,4.32,2
1,31.01,27.53,1.18,2.12,2
0,60.84,33.17,0.61,2.62,2
1,47.16,25.06,1.41,2.15,2
1,37.48,31.51,1.68,2.1,2
1,71.89,25.07,1.52,3.52,2
1,65.81,31.18,0.81,3.25,2
0,35.34,34.71,1.88,2.14,2
0,36.28,33.39,1.58,2.09,2
1,39.68,30.92,0.52,3.1,2
0,56.95,31.47,1.44,4.27,2
0,70.12,30.01,1.85,3.12,2
1,35.65,29.91,1.92,4.71,2
1,54.67,34.3,1.5,2.21,2
1,71.16,31.1,1.23,4.33,2
1,61.95,27.71,1.71,3.62,2
1,34.98,29.95,0.92,4.24,2
1,44.25,29.99,0.94,2.62,2
1,79.07,28.46,1.26,4.53,2
0,38.5,31.55,1.4,2.21,2
0,38.66,32.88,1.7,3.77,2
0,42.17,33.01,1.85,4.91,2
0,42.15,28.48,1.46,4.53,2
1,38.86,33.13,0.66,3.88,2
0,41.96,34.12,0.84,4.38,2
1,33.28,30.84,1.52,3.69,2
1,66.73,32.98,1.16,3.94,2
1,79.16,33.89,1.0,3.93,2
1,63.81,25.05,0.66,4.19,2
0,52.19,32.83,1.82,4.22,2
0,60.25,25.9,1.52,3.93,2
1,63.64,25.9,0.82,3.46,2
1,45.8,31.66,0.96,4.3,2
1,59.51,26.16,0.75,3.91,2
0,35.65,28.4,0.69,2.78,2
1,74.28,32.7,1.3,2.26,2
0,73.19,30.04,1.96,3.06,2
0,63.62,27.17,0.78,2.99,2
0,56.04,30.25,1.98,2.88,2
0,38.2,32.9,1.17,4.49,2
1,72.65,30.72,1.98,2.13,2
1,73.81,29.59,0.91,2.81,2
0,36.74,34.79,0.72,2.09,2
1,51.2,30.7,1.63,4.4,2
1,62.51,27.83,1.05,3.1,2
1,66.56,25.43,1.7,2.41,2
0,66.17,28.35,0.77,2.34,2
0,68.69,32.43,0.73,2.2,2
0,69.51,31.69,1.65,2.77,2
1,32.33,25.72,1.24,4.75,2
1,45.08,26.12,0.58,3.88,2
1,54.72,26.66,0.87,2.05,2
0,55.54,31.4,1.3,3.79,2
1,47.07,33.98,1.88,4.62,2
1,75.47,30.53,1.24,3.29,2
1,66.0,33.72,0.89,4.97,2
0,71.44,34.95,1.6,4.57,2
0,73.77,32.44,1.7,2.83,2
0,70.9,33.86,0.68,3.51,2
0,46.97,25.78,1.87,4.72,2
1,69.38,32.98,1.72,4.05,2
1,79.98,32.86,1.14,4.65,2
1,50.21,31.98,1.42,4.23,2
0,36.39,28.56,0.7,4.92,2
1,79.33,34.63,1.53,2.42,2
1,46.44,33.4,1.81,2.2,2
0,32.32,29.11,1.44,4.39,2
0,49.84,33.99,1.43,2.26,2
1,61.89,29.44,1.4,2.18,2
1,57.86,29.19,0.69,2.53,2
1,56.2,29.13,0.84,2.95,2
1,30.09,27.18,0.78,3.53,2
1,59.33,31.43,1.88,3.43,2
1,37.64,34.28,1.37,2.06,2
0,37.57,33.71,1.65,4.67,2
0,75.9,28.27,0.95,4.91,2
1,52.36,26.22,0.77,4.13,2
0,42.24,27.61,0.56,4.86,2
0,30.41,33.54,1.04,2.41,2
0,49.53,33.66,1.86,3.03,2
0,37.42,26.53,0.84,2.4,2
0,58.31,33.39,1.26,4.16,2
1,38.27,32.1,0.65,2.38,2
1,71.71,29.12,1.56,4.87,2
0,54.39,34.73,0.86,2.46,2
0,32.21,27.42,1.46,4.56,2
0,60.96,32.06,0.93,4.5,2
1,30.24,27.92,1.98,4.47,2
0,38.03,26.08,1.18,3.39,2
0,71.8,30.77,0.75,4.54,2
0,77.8,28.36,1.9,2.71,2
0,62.36,26.91,1.68,2.34,2
0,31.44,29.68,0.86,3.9,2
1,36.68,33.52,0.84,3.22,2
0,65.61,33.6,1.19,4.73,2
1,62.98,25.12,1.96,3.17,2
1,69.43,26.06,1.65,2.93,2
0,40.85,29.42,1.65,3.2,2
0,78.98,32.33,1.6,4.25,2
1,47.04,28.39,0.56,3.43,2
0,32.39,29.16,0.74,4.71,2
1,59.65,27.01,1.68,4.4,2
0,38.6,26.89,1.33,2.4,2
0,40.56,27.56,1.44,4.97,2
1,74.7,28.8,1.28,2.71,2
0,68.82,33.07,1.57,3.21,2
0,51.02,29.05,1.3,3.12,2
1,77.92,32.1,1.43,3.99,2
0,57.84,33.81,0.96,3.55,2
